transaction_id,user_id,amount,merchant,location,device_type,timestamp,is_fraud
TXBED3F4B1,128,47.64,Amazon,Mumbai,atm,2025-01-01 00:00:39,0
TX8FF5CE04,922,59.55,Marriott,Berlin,atm,2025-01-01 00:04:37,0
TXC9E16658,699,44.29,Shell Gas,London,tablet,2025-01-01 00:07:36,0
TX956B0F74,680,12.68,Offshore Trading,NYC,atm,2025-01-01 00:09:35,0
TX1536AA77,318,23.96,Shell Gas,Singapore,tablet,2025-01-01 00:14:13,0
TX90B68C89,661,207.43,Nike,Berlin,tablet,2025-01-01 00:16:19,0
TXC3146870,136,21.19,Emirates,NYC,web,2025-01-01 00:17:31,0
TX35157048,119,23.29,Shell Gas,Berlin,web,2025-01-01 00:19:00,0
TX656E63D3,955,27.94,Apple Store,NYC,atm,2025-01-01 00:20:50,0
TX57AC9383,229,17.0,Netflix,London,atm,2025-01-01 00:21:15,0
TX41824A92,770,17.83,Best Buy,NYC,atm,2025-01-01 00:23:04,0
TX31F44AA3,279,14.98,Quick Cash LLC,Singapore,tablet,2025-01-01 00:33:03,0
TXFEF31C9E,653,11.5,Offshore Trading,Berlin,web,2025-01-01 00:39:32,0
TXCDF3D466,613,18.78,Uber,London,atm,2025-01-01 00:44:54,0
TXDC2A997E,723,40.94,Amazon,Dubai,atm,2025-01-01 00:45:07,0
TXA426A5D4,954,39.61,Apple Store,Singapore,web,2025-01-01 00:48:45,0
TX57BAE417,426,256.63,Best Buy,Berlin,mobile,2025-01-01 00:57:54,0
TXBAB46625,866,69.86,Zara,London,tablet,2025-01-01 00:58:26,0
TX32F978CD,299,15.48,Starbucks,Berlin,mobile,2025-01-01 01:01:17,0
TX6CF4CEAE,964,57.22,Apple Store,Dubai,atm,2025-01-01 01:02:07,0
TXD4F9EE12,500,45.35,Emirates,Singapore,atm,2025-01-01 01:05:01,0
TXE381AB71,845,7.21,Netflix,NYC,tablet,2025-01-01 01:06:58,0
TX09ECD476,826,40.58,Netflix,Dubai,tablet,2025-01-01 01:07:27,0
TX8DE5F207,635,102.42,Shell Gas,NYC,mobile,2025-01-01 01:09:23,0
TX0C75A6D5,964,11.82,Crypto Exchange X,Dubai,mobile,2025-01-01 01:09:36,0
TXB3B82F1B,676,10.02,Quick Cash LLC,NYC,mobile,2025-01-01 01:11:24,0
TX25425336,606,86.05,Uber,Berlin,mobile,2025-01-01 01:11:44,0
TX4609A7F5,254,45.82,Nike,Berlin,web,2025-01-01 01:13:44,0
TX98CEF165,377,4595.3,Offshore Trading,Singapore,web,2025-01-01 01:15:08,1
TX570C1E3A,7,21.1,Uber,London,web,2025-01-01 01:16:08,0
TX0B2042D3,719,21.77,Amazon,London,mobile,2025-01-01 01:17:21,0
TXF53B6131,607,3533.71,Netflix,Dubai,tablet,2025-01-01 01:18:24,1
TXD6EA0CBA,698,41.2,Whole Foods,NYC,atm,2025-01-01 01:19:26,0
TXEF6E8DE2,629,48.5,Walmart,NYC,mobile,2025-01-01 01:19:38,0
TX3EE4240A,248,20.3,Netflix,Berlin,tablet,2025-01-01 01:23:53,0
TXFBA34B87,1000,135.2,Offshore Trading,London,atm,2025-01-01 01:29:40,0
TXDA3F5400,436,17.7,Apple Store,Mumbai,web,2025-01-01 01:30:16,0
TX2A5C247B,700,19.19,McDonald's,NYC,tablet,2025-01-01 01:40:25,0
TXC95F3670,135,100.27,Quick Cash LLC,NYC,atm,2025-01-01 01:42:15,0
TXF068BCA3,597,100.1,Quick Cash LLC,London,tablet,2025-01-01 01:45:57,0
TX4C2E2D9C,403,19.9,Uber,Singapore,web,2025-01-01 01:48:20,0
TX16C411CA,928,74.21,Netflix,Dubai,web,2025-01-01 01:49:47,0
TXACD6E802,763,55.44,Emirates,London,mobile,2025-01-01 01:53:19,0
TXB11679B6,935,19.4,Uber,Dubai,atm,2025-01-01 02:00:32,0
TX2D4C6F4F,314,23.39,Nike,Dubai,web,2025-01-01 02:02:26,0
TX6636C131,661,42.74,Spotify,Berlin,atm,2025-01-01 02:02:52,0
TX5D327727,634,31.5,Zara,London,web,2025-01-01 02:02:59,0
TXEE0B4B29,252,45.6,Zara,Berlin,tablet,2025-01-01 02:04:52,0
TXC75FC49A,328,3907.14,Walmart,Singapore,mobile,2025-01-01 02:05:16,1
TX693AC385,675,1191.48,Spotify,Mumbai,mobile,2025-01-01 02:11:03,1
TX915A1BD6,148,16.95,Crypto Exchange X,Berlin,tablet,2025-01-01 02:11:54,0
TX09A4D7B8,401,58.53,Quick Cash LLC,Singapore,tablet,2025-01-01 02:12:00,0
TX7573D300,742,41.47,Marriott,London,web,2025-01-01 02:17:00,0
TXF693D297,842,58.6,Nike,London,tablet,2025-01-01 02:18:39,0
TXCF2755A2,590,28.62,Crypto Exchange X,NYC,web,2025-01-01 02:19:35,0
TXAA3D9A3B,670,25.45,Apple Store,NYC,tablet,2025-01-01 02:24:34,0
TX439971B7,826,14.78,Nike,London,tablet,2025-01-01 02:28:20,0
TXB8D7BD6F,232,27.07,Walmart,NYC,atm,2025-01-01 02:29:01,0
TX6E926100,679,24.31,Nike,Berlin,tablet,2025-01-01 02:29:02,0
TXF0A7BF56,736,52.34,Apple Store,NYC,atm,2025-01-01 02:31:50,0
TX062EDB20,818,39.92,Emirates,NYC,atm,2025-01-01 02:34:01,0
TXC7E1EEBD,609,33.42,Amazon,Dubai,web,2025-01-01 02:34:58,0
TX10D7EB9B,155,28.43,Amazon,Dubai,atm,2025-01-01 02:37:02,0
TX0F76CA2C,51,318.42,Marriott,Mumbai,web,2025-01-01 02:39:30,0
TXA79F1765,615,17.7,Quick Cash LLC,Berlin,mobile,2025-01-01 02:41:57,0
TX8361A23B,277,14.49,Walmart,Singapore,atm,2025-01-01 02:41:58,0
TX3B990DDB,368,29.62,Whole Foods,Berlin,mobile,2025-01-01 02:42:54,0
TX056D9C0E,462,95.7,Nike,London,mobile,2025-01-01 02:43:26,0
TXF1B7BB65,747,20.81,Nike,NYC,tablet,2025-01-01 02:43:29,0
TXFFAADFDB,355,27.02,Netflix,Berlin,tablet,2025-01-01 02:49:39,0
TXC1E9A032,581,21.49,Quick Cash LLC,Berlin,web,2025-01-01 02:50:25,0
TX0245AC78,498,30.97,Emirates,Dubai,tablet,2025-01-01 02:51:19,0
TX7394D746,55,31.6,Apple Store,Singapore,atm,2025-01-01 02:51:38,0
TXD2159149,692,33.66,Quick Cash LLC,NYC,tablet,2025-01-01 02:51:46,0
TXAB4F0F56,534,63.79,Uber,Berlin,atm,2025-01-01 02:51:55,0
TXFA0F6C42,221,85.81,McDonald's,NYC,tablet,2025-01-01 02:52:07,0
TX458744D5,745,89.13,Starbucks,Mumbai,tablet,2025-01-01 02:54:23,0
TX8F9D1489,100,45.27,Zara,Dubai,tablet,2025-01-01 03:00:53,0
TXF67DD0AD,263,61.84,Marriott,NYC,atm,2025-01-01 03:02:33,0
TXF66135B5,240,22.09,Crypto Exchange X,Mumbai,web,2025-01-01 03:03:45,0
TX5614CC00,655,17.33,Zara,NYC,web,2025-01-01 03:04:11,0
TX02ADDC90,990,37.48,Marriott,Mumbai,atm,2025-01-01 03:04:20,0
TXEA172CDD,841,30.15,Walmart,Singapore,tablet,2025-01-01 03:09:41,0
TX90C71CCE,139,30.27,Netflix,Dubai,mobile,2025-01-01 03:11:03,0
TXCF8CE481,66,9.55,Emirates,Dubai,tablet,2025-01-01 03:14:22,0
TXB254E082,790,51.78,Amazon,NYC,mobile,2025-01-01 03:15:23,0
TX9CDAC4B3,579,13.23,Shell Gas,Dubai,tablet,2025-01-01 03:17:28,0
TX9D621342,359,18.32,Walmart,NYC,web,2025-01-01 03:22:33,0
TX528BC79D,888,16.25,McDonald's,Berlin,mobile,2025-01-01 03:25:57,0
TX6BACC620,179,2260.03,Netflix,Dubai,tablet,2025-01-01 03:28:00,1
TXBEF2E753,127,84.81,Netflix,Mumbai,mobile,2025-01-01 03:28:40,0
TX9EACB157,500,12.48,McDonald's,Mumbai,web,2025-01-01 03:31:37,0
TXD7941AAF,270,71.44,Starbucks,Singapore,mobile,2025-01-01 03:34:44,0
TXD88D2F0D,233,51.34,Nike,Mumbai,mobile,2025-01-01 03:35:06,0
TX570BDF48,626,22.5,McDonald's,NYC,web,2025-01-01 03:36:15,0
TXA1FF8EEA,305,93.64,Crypto Exchange X,Mumbai,tablet,2025-01-01 03:39:17,0
TXDC0C7C92,586,37.22,Netflix,London,tablet,2025-01-01 03:40:26,0
TX2075B9A2,567,20.3,Walmart,Singapore,atm,2025-01-01 03:43:02,0
TXEF0947BF,794,52.65,Zara,Singapore,web,2025-01-01 03:43:38,0
TXB748D579,976,27.44,Walmart,London,web,2025-01-01 03:43:59,0
TX30503841,630,46.67,Shell Gas,NYC,atm,2025-01-01 03:44:46,0
